,mean_importance,std_importance,min_importance,max_importance,cv
TrainInnerModel__learning_rate,0.11297758960909303,0.029234284557328013,0.05883779259960392,0.15158576866725587,0.2587618009773425
TrainInnerModel__effective_batch_size,0.06072864592519365,0.01756517334739155,0.029379375104513435,0.08826992871489221,0.28924032604034283
TrainInnerModel__num_train_epochs,0.03590660849655434,0.010974932773098208,0.02787308597203582,0.06473198336130331,0.30565216913068755
TrainInnerModel__warmup_ratio,0.023901718204838364,0.011084105915539455,0.005710355726802033,0.04466791633013252,0.4637367832951745
learning_rate__num_train_epochs,0.018737782325386844,0.005137985861494566,0.011951419780691044,0.028822631195047417,0.2742045868754371
effective_batch_size__num_train_epochs,0.017043944581853106,0.0057778543946531286,0.008110295993977116,0.02556131688015551,0.3389974877532094
TrainInnerModel__dropout_head,0.016693002461599736,0.005171868074576504,0.009192576148648815,0.02722397242005098,0.30982251913481534
effective_batch_size__learning_rate,0.01512060149048608,0.002742171790788433,0.011356191075030744,0.019408559099721015,0.1813533537348904
dropout_head__effective_batch_size,0.012532229385833094,0.008620910986502731,0.0034331334316994827,0.027691628659407354,0.6878992333357811
learning_rate__warmup_ratio,0.011805568848716485,0.009149331092209627,0.0028031416873988578,0.033195690526693133,0.775001290446445
num_train_epochs__warmup_ratio,0.008913849251104462,0.002750892117534951,0.00489487115360984,0.013892744133200208,0.30860877720072555
dropout_head__num_train_epochs,0.007357060753548091,0.0017977388508221904,0.004368916023600273,0.01068432095588093,0.24435558044769368
dropout_head__learning_rate,0.007307814977468583,0.003539059003731242,0.002618498585252319,0.014521912330317886,0.48428415533820307
effective_batch_size__warmup_ratio,0.006762855026278283,0.0033051660986800936,0.0016305345146871634,0.012062691807245972,0.4887234882068711
dropout_head__warmup_ratio,0.004579986969440951,0.0023515490633336574,0.0013652069969956036,0.008287641916933493,0.5134401209051246
