,mean_importance,std_importance,min_importance,max_importance,cv
TrainInnerModel__learning_rate,0.09739904607822872,0.019290053300537,0.07186503421511493,0.1297286246070457,0.19805176823850681
TrainInnerModel__num_train_epochs,0.056826368478462376,0.012723556143075122,0.04226901459526476,0.0753594192060433,0.22390232710185318
TrainInnerModel__warmup_ratio,0.04993656377539134,0.014941021655539954,0.025774067866104082,0.07158939158535378,0.2992000355239274
TrainInnerModel__effective_batch_size,0.023724641100503156,0.009761186937211376,0.009284797022896987,0.04306864803865837,0.41143665338753466
TrainInnerModel__dropout_head,0.017249794142296684,0.00792950044578457,0.006390557705745779,0.03279886955169297,0.4596866710624301
learning_rate__num_train_epochs,0.01453238271778683,0.004877382671720599,0.006716523872154849,0.0210207252638732,0.3356216779063321
num_train_epochs__warmup_ratio,0.011826653624385307,0.004919727384394922,0.005419175840184305,0.021587439734362106,0.41598642698480365
effective_batch_size__learning_rate,0.010324268450001419,0.004150318096226431,0.006792149956981189,0.021405703917363794,0.4019963367211612
learning_rate__warmup_ratio,0.009860626174340009,0.004378494614959049,0.003600205569417268,0.017834270257065563,0.4440381916468008
effective_batch_size__warmup_ratio,0.0085914636587908,0.005818993875028237,0.0030774349797841175,0.020965575752653107,0.6772994807554394
effective_batch_size__num_train_epochs,0.007878558260997426,0.004153340316795628,0.0018566617837614458,0.015729978153201946,0.5271700962543641
dropout_head__num_train_epochs,0.007230781404717534,0.003461308541209623,0.0032208429132302065,0.015952443285695544,0.4786908008242903
dropout_head__warmup_ratio,0.006878443835559382,0.008848162290260985,0.001375030288391429,0.031754943351895555,1.2863610580810125
dropout_head__learning_rate,0.006876477989159547,0.003772795004454293,0.002950625471037159,0.015795611100437354,0.5486522330765738
dropout_head__effective_batch_size,0.00413705794119845,0.0020568798346255733,0.001386588723400552,0.0067735315580100194,0.4971841980123978
