,mean_importance,std_importance,min_importance,max_importance,cv
TrainInnerModel__num_train_epochs,0.022264419268259027,0.0035582363401112484,0.016783322583251922,0.028464059645334223,0.1598171637552658
TrainInnerModel__learning_rate,0.013149207631955312,0.003242196805171572,0.009145280902666027,0.018117243688104988,0.24656974746465776
TrainInnerModel__warmup_ratio,0.012348301572971536,0.005763160102657477,0.006368614217893522,0.026137366062955573,0.4667168248686213
TrainInnerModel__effective_batch_size,0.009731596014693974,0.003638856835926056,0.0064227304391321115,0.019250646029969468,0.3739218963088539
TrainInnerModel__dropout_head,0.008985507485811058,0.004952192486451855,0.002940021840227491,0.017593957738475764,0.5511310846128414
effective_batch_size__learning_rate,0.007175401876111889,0.004511721466399679,0.0026605737399498187,0.01489759963058581,0.6287761360684135
learning_rate__num_train_epochs,0.006177978006849117,0.0024159220079903922,0.0033780892245000036,0.012290304306991018,0.3910538375682171
effective_batch_size__warmup_ratio,0.005154021231843586,0.005774223554832441,0.000758985420701553,0.017381983074243483,1.120333676383985
learning_rate__warmup_ratio,0.003264533100584182,0.0015795481874933083,0.0014219806922566493,0.006023954302820894,0.4838511783540045
dropout_head__learning_rate,0.0026630184944883757,0.0011213993008315174,0.0015779102425334053,0.0045146920756604855,0.42110083093769984
dropout_head__num_train_epochs,0.0026123114321743085,0.0012459157952058268,0.0007922965032879501,0.004406589699406384,0.47693999262898457
dropout_head__warmup_ratio,0.002583796561870398,0.003945436156961263,0.00021511922476493087,0.011963220828798459,1.5269917977231071
num_train_epochs__warmup_ratio,0.0022190724884654294,0.0013065481191959045,0.0008925416002645569,0.005490716190555991,0.5887811804198567
effective_batch_size__num_train_epochs,0.002104576693406785,0.0008748559271791342,0.0010419020177052933,0.003468401276745277,0.4156921103991513
dropout_head__effective_batch_size,0.0015912426259429811,0.0016317732552977623,0.00036300906591564704,0.005877827404804789,1.0254710555725357
