,mean_importance,std_importance,min_importance,max_importance,cv
TrainInnerModel__learning_rate,0.15164849158028265,0.03832021530258915,0.07725531524494142,0.19365112087361994,0.25269104165340445
TrainInnerModel__warmup_ratio,0.01780291262875367,0.009858534738665038,0.0043985560627609385,0.03406479702517596,0.5537596540659541
TrainInnerModel__dropout_head,0.015689497230650436,0.008851455393404204,0.0027843507864460507,0.02735540656927636,0.5641643746309678
dropout_head__learning_rate,0.005779393578688857,0.006399054422125364,0.0001848850327499743,0.021754504860005158,1.1072190074961266
learning_rate__warmup_ratio,0.005139415554216493,0.0037614138881945517,0.001921224700769689,0.012191827577530007,0.7318758034867608
dropout_head__warmup_ratio,0.005081330215190189,0.0044247443221950376,0.0008364787798559598,0.014681507744059985,0.870784643943756
dropout_head__effective_batch_size,0.004329688506531569,0.004390410445633694,6.096494371686301e-05,0.014110687238811984,1.014024551422238
TrainInnerModel__effective_batch_size,0.0038887064064331797,0.0028381425435620323,0.0005851775411726233,0.008152916614871771,0.7298423297955395
TrainInnerModel__num_train_epochs,0.003506801137007171,0.0012891920840846045,0.0020317119737805482,0.00668067014197724,0.367626230777616
effective_batch_size__learning_rate,0.0028538274528171867,0.00405744266177123,0.00020529962441495622,0.012821084533777281,1.421754723736322
learning_rate__num_train_epochs,0.002192291656552247,0.0012501274316397114,0.0005455906929084297,0.004385885463982937,0.5702377363446934
effective_batch_size__warmup_ratio,0.0021896281792188055,0.0026454141539242115,0.00023270103132271255,0.007790302223127636,1.2081567907424433
dropout_head__num_train_epochs,0.0019765479700089876,0.002280444147356659,0.0002814176489877441,0.007781103480027947,1.1537509749112183
num_train_epochs__warmup_ratio,0.0016976020576647054,0.0017404036715598648,0.000463111776228939,0.005992697261502371,1.0252129842220143
effective_batch_size__num_train_epochs,0.0007134564239785039,0.00036490175926571583,0.0002588252378995234,0.0012917112677684247,0.5114562669866859
