,mean_importance,std_importance,min_importance,max_importance,cv
TrainInnerModel__learning_rate,0.07901355661892885,0.01895780730735118,0.049445747626591575,0.11616619488484642,0.23993107156006138
TrainInnerModel__warmup_ratio,0.04116595027843838,0.020830600894280172,0.016258327742487436,0.07852188341288205,0.5060153052069997
TrainInnerModel__num_train_epochs,0.025484537773222037,0.011552763970827613,0.007768922533780893,0.05177758747614086,0.45332444612618084
dropout_head__warmup_ratio,0.014611078612189762,0.011312087656060463,0.0006395551764567382,0.0321455163125129,0.7742130445197243
TrainInnerModel__dropout_head,0.013278691198345193,0.010354361218911827,0.0035917438390637596,0.03084283840871648,0.7797727249054636
dropout_head__learning_rate,0.012120339370576463,0.012786593175073972,0.0015277957364638758,0.03881554394658539,1.054969896809566
learning_rate__num_train_epochs,0.011293974130186808,0.004316145658877726,0.0071516704778074106,0.019539021874857992,0.38216358645106396
TrainInnerModel__effective_batch_size,0.010716421327033076,0.006088115461642003,0.004648087667648246,0.026779296478767648,0.5681108717034313
dropout_head__num_train_epochs,0.008665162056745352,0.0036326453292424106,0.0036819877232095507,0.01597149735539995,0.4192241651631427
learning_rate__warmup_ratio,0.008433545149772103,0.0028503373465035373,0.002309829271882849,0.01246816618685585,0.3379761767897289
effective_batch_size__learning_rate,0.007938117519335023,0.001959939973241271,0.003984001537488603,0.01038727295567,0.2469023629931666
effective_batch_size__warmup_ratio,0.007210866585729378,0.006738296484080807,0.000611377808331224,0.01819337661708859,0.9344641734762077
num_train_epochs__warmup_ratio,0.007077642152118241,0.006650342575675904,0.0008575399887501868,0.019996402236696076,0.9396268464470965
effective_batch_size__num_train_epochs,0.005558785552635967,0.0029590697316699156,0.0009909653549350467,0.008712269205653463,0.5323230593536262
dropout_head__effective_batch_size,0.004760902083512736,0.006040693410443418,0.0001863107451231654,0.019329879416587894,1.2688127805364176
