,mean_importance,std_importance,min_importance,max_importance,cv
dropout_head__effective_batch_size,0.04462493155589939,0.02201694900145669,0.01696535871433146,0.07959700769570074,0.49337776515975545
effective_batch_size__num_train_epochs,0.044196875747385796,0.013836664234388988,0.01454970348724306,0.06489210338421669,0.31306883123310847
num_train_epochs__warmup_ratio,0.03610000334143712,0.00974169226045652,0.017206608575214104,0.04730115215574105,0.2698529462260352
dropout_head__warmup_ratio,0.030371969887032012,0.017023902225509032,0.006947006428630378,0.05776652750730854,0.5605136014828517
effective_batch_size__warmup_ratio,0.027123538942815016,0.010278297763892745,0.005923499558555158,0.038069829454466866,0.3789438312442429
effective_batch_size__learning_rate,0.0245438003327137,0.010326113463817297,0.014528979025363653,0.04962505375731529,0.4207218655561636
dropout_head__num_train_epochs,0.023194671827658265,0.012024413002565749,0.010996701015562865,0.04884828771234266,0.5184127239182299
learning_rate__num_train_epochs,0.022413454937813392,0.01315952978524515,0.00826550445325741,0.04534073566031513,0.5871263409303271
learning_rate__warmup_ratio,0.010848132546538774,0.0071311082311855825,0.0036226082324906563,0.029239316545082838,0.6573581398082058
dropout_head__learning_rate,0.007629097597932852,0.005199503059653767,0.0025688175671326244,0.02029814889166713,0.6815357901650914
