,mean_importance,std_importance,min_importance,max_importance,cv
num_train_epochs__warmup_ratio,0.040116601723796365,0.022008632632801086,0.006771494991942186,0.06674931953487978,0.5486165748617238
dropout_head__num_train_epochs,0.03496402202116075,0.010441475096799095,0.021372259040577244,0.05154292129681703,0.29863483927792284
effective_batch_size__num_train_epochs,0.03357628822880575,0.013363183457981454,0.015658070020462614,0.06455273856358504,0.39799466120012994
effective_batch_size__warmup_ratio,0.0293469375474269,0.015725237640126892,0.005398947649779056,0.05268245395222101,0.535839135334435
dropout_head__warmup_ratio,0.027711769335150356,0.009779714107851587,0.015091657807552429,0.042644313660710524,0.35290832532467475
learning_rate__num_train_epochs,0.027041179581941556,0.013841440001210018,0.005297678577003154,0.04729709385728434,0.5118652446083938
dropout_head__effective_batch_size,0.025877390538181146,0.009558869553384582,0.010691416772702488,0.03982917007655061,0.36939078301889905
dropout_head__learning_rate,0.013319454368586803,0.005830556608116634,0.007627603041268602,0.023754923092442492,0.43774740667062756
effective_batch_size__learning_rate,0.012314212975412265,0.00965650648032525,0.003562153058957384,0.031001221411910022,0.7841756919103442
learning_rate__warmup_ratio,0.01029500201998477,0.00766348974082319,0.0013176113144166596,0.03000381888784317,0.7443893382387629
