,mean_importance,std_importance,min_importance,max_importance,cv
learning_rate__num_train_epochs,0.045665234808609914,0.009111180670108894,0.03173659091945751,0.05908397017677263,0.1995211610822821
effective_batch_size__num_train_epochs,0.02706792143041322,0.015820717773085004,0.016336868695283797,0.06953070884641371,0.5844821817499817
num_train_epochs__warmup_ratio,0.02074962175773496,0.006312017752218818,0.007701778695534398,0.03197608482592107,0.30419917172060496
effective_batch_size__learning_rate,0.018845168722457763,0.00978159486034667,0.003498088197065966,0.034006751804985455,0.5190505324948328
dropout_head__effective_batch_size,0.018500094033048933,0.009944419242565464,0.003573697099217479,0.03136253350111255,0.5375334430625356
dropout_head__num_train_epochs,0.018247782119526542,0.006883110519671042,0.010972047162373169,0.03130799365074454,0.37720258136497475
learning_rate__warmup_ratio,0.017888503450397338,0.011464898157887536,0.0033262258619844894,0.03799068797833772,0.6409087372612424
effective_batch_size__warmup_ratio,0.01758818034578441,0.011674684197125338,0.0033928340453012453,0.03750476928635206,0.6637801050251092
dropout_head__learning_rate,0.01675855776724916,0.007956849394994981,0.0066637103217229866,0.031888644715321754,0.4747932074766516
dropout_head__warmup_ratio,0.009465889724976842,0.008577386988448553,0.0007343683997533775,0.03141151960702841,0.9061363736169594
