,mean_importance,std_importance,min_importance,max_importance,cv
learning_rate__num_train_epochs,0.037760488768465696,0.024880210610923263,0.009329671153817845,0.08529727986549494,0.6588953539102775
dropout_head__learning_rate,0.03540480656623955,0.018982945130891975,0.00855631585505908,0.06644769817713947,0.536168587600568
effective_batch_size__learning_rate,0.032135359756881345,0.014314663417703027,0.0008787381835856802,0.049489443977238215,0.4454489859768176
num_train_epochs__warmup_ratio,0.026950810371979172,0.026561008725213914,0.0008847452294097501,0.08403196333794875,0.9855365519112355
dropout_head__effective_batch_size,0.02559600828022286,0.02528812454333038,0.0007611774968975986,0.0711954393735065,0.9879714159519799
dropout_head__warmup_ratio,0.023181700537981346,0.028726641828327643,0.0019186538037711273,0.08132809080504233,1.2391947597313389
effective_batch_size__warmup_ratio,0.01799199568362157,0.020868481175261105,0.0008457597403256618,0.06942465101076417,1.1598758438041452
learning_rate__warmup_ratio,0.01614617989387566,0.009518327471825301,0.006962689898037031,0.03953091063032414,0.589509564143755
effective_batch_size__num_train_epochs,0.014035411180929389,0.014406756676603686,0.001039688752006426,0.0440435228153868,1.0264577568043651
dropout_head__num_train_epochs,0.011019500244309432,0.011556269803941952,0.001276595890338894,0.03860735221134855,1.0487108805056484
