,mean_importance,std_importance,min_importance,max_importance,cv
num_train_epochs__warmup_ratio,0.061575922911931036,0.03686778105072162,0.0217191877241447,0.15271857712288384,0.5987369625535578
learning_rate__num_train_epochs,0.057229850858551826,0.019708668394228246,0.03150148112374928,0.08273401503961111,0.3443774201498411
dropout_head__num_train_epochs,0.04028032286060806,0.029771546423864512,0.007578157386588437,0.08001414928673847,0.7391089323412412
effective_batch_size__num_train_epochs,0.034040359181859756,0.0224978314553613,0.0046080745021177495,0.06331782945757881,0.6609163944236666
dropout_head__warmup_ratio,0.0268312086241346,0.012531277835955954,0.0068437736747337784,0.04717963638343461,0.46704112406938325
dropout_head__learning_rate,0.021601124538703248,0.014440082830695422,0.007786180358527453,0.05410320526320505,0.6684875504894564
learning_rate__warmup_ratio,0.013368013077362814,0.009734083229785967,0.00229471640449139,0.03210642013900386,0.7281623060550048
effective_batch_size__learning_rate,0.011896511215869376,0.007263573444484629,0.0035314588085434435,0.02347061476044694,0.6105633250524213
effective_batch_size__warmup_ratio,0.011525256091436075,0.011543322401353884,0.0022540325168812396,0.041162173336070515,1.0015675408662923
dropout_head__effective_batch_size,0.008235853213436693,0.008685379149130415,0.0008213659396007689,0.02796017490526855,1.0545815866363821
