hyperparameter,spearman_corr,spearman_p,pearson_corr,pearson_p,abs_spearman
mean_span_length,0.7857142857142859,0.03623846267982713,0.8880764046372948,0.007571961497320526,0.7857142857142859
learning_rate,0.7500000000000002,0.05218140045705776,0.6259282391567974,0.13266711611233645,0.7500000000000002
warmup_ratio,-0.7500000000000002,0.05218140045705776,-0.6587655092848248,0.10757272649521345,0.7500000000000002
max_missing_prop,0.5357142857142858,0.21521745567801273,0.38304751398049386,0.3963556238465279,0.5357142857142858
drop_prob,0.39285714285714296,0.38331687042697266,0.44583014114577296,0.3160551249566953,0.39285714285714296
batch_size_expo,0.22237479499833038,0.6317493389261648,0.19191580808511663,0.6801603077638484,0.22237479499833038
lr_scheduler_type,-0.20412414523193148,0.6606421552406505,0.050688184971244186,0.9140595669693693,0.20412414523193148
masking_prob,0.1785714285714286,0.7016579425162729,0.2573844101257446,0.5773789106543786,0.1785714285714286
min_past_expo,0.10910894511799621,0.8158714843641037,-0.29308604598456517,0.5235334239549889,0.10910894511799621
optim,,,,,
