,mean_importance,std_importance,min_importance,max_importance
max_missing_prop,0.22448252005133656,0.08265310467734735,0.07376792733182085,0.39284964611032164
drop_prob,0.19293316531215618,0.07921486711112483,0.02604064771225681,0.4290497877292929
mean_span_length,0.18164720018719122,0.07561023876163726,0.03545328592243917,0.35747791228390247
warmup_ratio,0.14781612437287717,0.07720698767553,0.00863487369269666,0.2558661602313268
min_past_expo,0.08229645073507211,0.06876452910138094,0.000897899091437342,0.3117258890539283
learning_rate,0.06995093872949044,0.049991715718825214,0.001386527690731614,0.24883475106721412
batch_size_expo,0.03052545583558018,0.0352624630471409,3.6567182972377445e-17,0.11254271945385538
masking_prob,0.030145073128568723,0.031282010005740685,3.916493748267407e-07,0.10643255412885322
lr_scheduler_type,0.003929806993271836,0.011661973316144426,0.0,0.05778714151762061
optim,3.183991755218397e-17,1.0309521087181934e-16,0.0,5.555156466618252e-16
