,mean_importance,std_importance,min_importance,max_importance,cv
max_missing_prop__drop_prob,0.0038787505879440427,0.004287608137055862,3.1395946029094723e-19,0.021263714782260485,1.1054096002931029
drop_prob__mean_span_length,0.003614412317229957,0.003992403180697775,3.991785464889423e-18,0.014622347894891032,1.1045787891065801
max_missing_prop__mean_span_length,0.0028471997044638006,0.00257949136094315,1.4898729163139562e-17,0.009795617348602952,0.905974862563753
max_missing_prop__min_past_expo,0.0022943481680532192,0.0029070090395410275,0.0,0.010199094409585002,1.2670304707971407
drop_prob__min_past_expo,0.0019399157272230172,0.003099987538066195,4.223862071115824e-17,0.012050677714765444,1.5980011371441463
batch_size_expo__drop_prob,0.0019215696466302007,0.003572725249127788,2.1810647029153e-18,0.016153007102958885,1.8592743986111404
learning_rate__drop_prob,0.0016534343652993254,0.002462421817830493,1.9148707008570183e-17,0.009001308876551564,1.4892770281720342
warmup_ratio__mean_span_length,0.001410505984571626,0.002116143792706282,1.567318491891813e-17,0.007978579548741968,1.5002728211386922
warmup_ratio__drop_prob,0.0013764302574668316,0.001452144748444812,1.6016393476463807e-18,0.004858916022877775,1.0550078658669744
learning_rate__max_missing_prop,0.001329781602113562,0.0021970821643418096,8.181247446074314e-18,0.007803624757951974,1.6522127850541437
mean_span_length__masking_prob,0.0012355148582098307,0.002830162316773356,6.820062181675001e-17,0.014257955767682162,2.290674448767092
min_past_expo__mean_span_length,0.001087812825015261,0.001799663530370806,2.8190155820880056e-19,0.007102114318115236,1.654387123396489
warmup_ratio__max_missing_prop,0.0009270396507921149,0.0012931794899886432,8.733312777100379e-18,0.00463967124588719,1.394955964271515
drop_prob__masking_prob,0.0008224585398204615,0.001425884171878158,0.0,0.005610241671831812,1.7336851681173147
batch_size_expo__min_past_expo,0.000565054796357363,0.0021405504369062024,0.0,0.011518405946452525,3.788217444936851
warmup_ratio__min_past_expo,0.000558292564622329,0.001498967188838023,1.0270568891850172e-17,0.007964411494981003,2.6849134017251997
max_missing_prop__masking_prob,0.0005110273485250383,0.0009348072973954632,0.0,0.003948904181218213,1.8292705861898924
min_past_expo__masking_prob,0.00041461809236216366,0.0012408084354851604,0.0,0.00576541403653671,2.992653862295353
learning_rate__mean_span_length,0.00035594812569927074,0.0006153851196215639,3.060579602834906e-18,0.002730150682172256,1.7288618065135797
learning_rate__min_past_expo,0.000334284411279597,0.0006313360173083267,0.0,0.003069577865467157,1.8886193792036399
batch_size_expo__mean_span_length,0.0003192217466102223,0.0010398011008655391,6.970136627853787e-20,0.005297861610727546,3.2573003309049686
warmup_ratio__masking_prob,0.00030741702818956357,0.0006924429717134974,0.0,0.002554826529470964,2.252454835671998
batch_size_expo__max_missing_prop,0.00030641959418124034,0.0006879333692402714,3.5223135262835856e-19,0.00259109334602635,2.245069774595988
learning_rate__warmup_ratio,0.00025367815850523684,0.0003138518978418764,0.0,0.001203155323245805,1.2372050463122444
warmup_ratio__batch_size_expo,0.0001968589472432699,0.0007000799653283605,1.3254867777159522e-19,0.0037655459677285665,3.5562516976342025
learning_rate__masking_prob,0.0001814880141269066,0.0006423941555581507,0.0,0.0035411422340826445,3.5395954859528778
learning_rate__batch_size_expo,0.00015819793569879365,0.00043940854794358386,0.0,0.0021717581417121145,2.7775871158028935
lr_scheduler_type__mean_span_length,0.00012133641455408334,0.0003492363455951289,0.0,0.001630020970470687,2.878248437442196
max_missing_prop__lr_scheduler_type,6.801330128477384e-05,0.0002643554340608195,0.0,0.0013987876957908547,3.886819623031603
lr_scheduler_type__masking_prob,6.720138813289167e-05,0.00035246961647817884,0.0,0.0019322805746347146,5.244975234457439
batch_size_expo__masking_prob,4.834301041879241e-05,0.00014145576540671833,0.0,0.0005810249353299559,2.9260851606322418
drop_prob__lr_scheduler_type,4.512403578633281e-05,0.00016243039560109382,0.0,0.0008668750226557415,3.5996424692644804
lr_scheduler_type__min_past_expo,1.2175644180835864e-05,5.1338441995194495e-05,0.0,0.00027275793415956827,4.216486719938795
learning_rate__lr_scheduler_type,6.295542049172793e-06,1.7900438168274194e-05,0.0,8.631237634993698e-05,2.8433513791916036
batch_size_expo__lr_scheduler_type,2.588859757559404e-06,1.4121098704406565e-05,0.0,7.73547897409436e-05,5.454563022648608
warmup_ratio__lr_scheduler_type,1.0513032287364156e-06,4.0168316428436436e-06,0.0,2.1733915826624556e-05,3.820811667887258
warmup_ratio__optim,0.0,0.0,0.0,0.0,
optim__masking_prob,0.0,0.0,0.0,0.0,
learning_rate__optim,0.0,0.0,0.0,0.0,
optim__batch_size_expo,0.0,0.0,0.0,0.0,
optim__max_missing_prop,0.0,0.0,0.0,0.0,
optim__drop_prob,0.0,0.0,0.0,0.0,
optim__lr_scheduler_type,0.0,0.0,0.0,0.0,
optim__min_past_expo,0.0,0.0,0.0,0.0,
optim__mean_span_length,0.0,0.0,0.0,0.0,
